chemical_name,synonyms,un_number,chris code,molecular_formula,appearance,specific_gravity,chemical_family,boiling_point,freezing_point,vapor_pressure (mmHg),reid vapor pressure,vapor_density,water_solubility,fire_grade,electrical_group,flash_point (F),flammable_limits,autoignition_temperature,fire_extinguishing_agent,special_fire_procedures,unusual_fire_explosion_hazards,health_hazard_rating,odor_threshold,permissible_exposure_limit,threshold_limit_value,symptoms,short_term_exposure,long_term_exposure,personal_protection,first_aid,stability,incompatibility,hazardous_decomposition_products,hazardous_polymerization,cargo_group,spill_or_leak_procedure,remarks,general_note,extraction_note,page_number,source,NOTE
DODECENE,alpha-Dodecylene; Propylene tetramer; Tetrapropylene,,DOD,C12H24,Colorless liquid; pleasant odor,0.76,Olefin,213°C 415°F,-32°C -25°F,,0.01,5.81,Negligible,D: Combustible liquid,D,144,LEL=0.8% UEL—Unavailable,400,"Carbon dioxide, dry chemical, or foam",Cool exposed tanks with water. Water may be ineffective on fire.,Moderate fire hazard when exposed to heat.,"1,1,1",Unavailable,Unavailable,Unavailable,Slight smarting of the eyes or respiratory system if present in high concentrations.,Unavailable,,,Vapor—remove victim to fresh air. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water.,Stable. Can react with oxidizing materials.,Usual materials of construction are suitable.,,,Group 30 of compatibility chart.,"Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 1 mmHg at 47.2°C. + Unassigned,Vapor slightly irritating in high concentrations.,"Health Hazard Ratings row printed unclearly in source text ('41,4,4'); interpreted as '1,1,1' but flagged for visual confirmation.",126,USCG Hazardous Chemical Data,
DODECYLBENZENE,Alkylbenzene; Detergent alkylate #2; n-Dodecylbenzene; Laurylbenzene; 1-Phenyldodecane,,DDB,C12H25C6H5,Water-white liquid; kerosene-like odor,0.86,Aromatic hydrocarbons,246°C 475°F,4°C 40°F,0.01,41,8.4,Negligible,E: Combustible liquid.,D,235,Unavailable,Unavailable,"Confined area—CO2, dry chemical. Open area—foam, water spray.",Water or foam may cause frothing.,CO and CO2 fumes produced on combustion.,"0,0,0",Unavailable,Unavailable,Unavailable,Very low toxicity.,Very low toxicity.,,,Skin contact—wash well with soap and water. Eye contact—flush with potable water.,Stable.,Usual materials of construction are suitable.,,,Group 32 of compatibility chart.,"Avoid contact with liquid. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,Very low toxicity.,,127,USCG Hazardous Chemical Data,
DODECYL PHENOL,No common synonyms.,,DOL,CH3C11H22C6H4OH,Straw colored liquid; phenolic odor,0.90 to 0.99,Phenols,314-344°C 597-632°F,,,,9.09,Insoluble,E: Combustible liquid,D,325,Unavailable,Unavailable,"CO2, dry chemical, alcohol foam, water fog",Wear self-contained breathing apparatus. Water can cause frothing.,Slight fire hazard when exposed to heat or flame; decomposes when heated yielding toxic products.,Unavailable,Unavailable,Unavailable,Unavailable,"Ingestion: Burning pain in mouth and throat, abdominal pain, vomiting, diarrhea, weakness, dizziness. Corrodes digestive tract. Inhalation: Irritation, bronchitis, pneumonia. Skin: irritation, pain",,,,"Get medical attention. Ingestion: Drink water or milk, swallow activated charcoal or castor oil. Inhalation: Remove to fresh air. Skin contact: Wash twice with soap and water. Eye contact: Flush with water for at least 15 minutes.",Generally stable but decomposes when heated forming toxic products. Reacts with oxidizing materials.,,,,Group 21 of compatibility chart.,"Avoid contact. Wear protective clothing and face shield. If spill is heated or burning, wear self-contained breathing apparatus. Material is a serious pollution hazard. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable,"Moderately toxic, highly irritating.",,128,USCG Hazardous Chemical Data,
EPICHLOROHYDRIN,"1-Chloro-2,3-epoxypropane; 3-Chloro-1,2-epoxypropane; Chloromethyloxirane; 2-Chloropropylene oxide; gamma-Chloropropylene oxide; Oxirane, (chloromethyl)-; Propane, 1-chloro-2,3-epoxy",2023,EPC,CH2CHCH2Cl,"Colorless liquid; chloroform-like, sweetish odor",1.18,Epichlorohydrin,116°C 240°F,-58°C -73°F,12.5,0.67,3.19,0.06,D: Combustible liquid,C,105,3.8 to 21%,804,"CO2, dry chemical, alcohol foam, water fog.",Keep exposed tank cool with water spray. Provide respiratory and body protection to firefighting personnel.,"One of the products of combustion is hydrochloric acid gas, which is both toxic and corrosive. Ignited by heat and open flame. This product can decompose to form highly toxic phosgene gas.","3,3,4",10 to 25,2/Skin,2/Skin,"The liquid blisters skin on contact. The vapor causes eye and respiratory irritation. It may also cause vomiting, convulsions, rapid pulse, and respiratory paralysis.",Concentrations exceeding 40 ppm rapidly produce irritation to nose and eyes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical attention as soon as possible.","Stable under usual handling conditions. However, it will polymerize at elevated temperatures or in the presence of certain catalysts; acids, alkalies and metallic halides are known to be effective catalysts for polymerization and should be avoided.","Usually carried in steel tanks; however, the wet product will pit steel.",Phosgene gas.,Will polymerize at elevated temperatures or in the presence of certain catalysts.,Group 17 of compatibility chart.,"Wear rubber gloves, self-contained breathing apparatus, protective clothing. Evacuate personnel not equipped with protective clothing and respiratory protection. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Suspected carcinogen. Vapor extremely irritating. Lung injury may be delayed. Liquid causes severe burns; absorbed by leather and causes delayed burns. Class B poison.,,129,USCG Hazardous Chemical Data,
ETHANE,Bimethyl; Dimethyl; Ethyl hydride; Methylmethane,refrigerated: 1961; compressed: 1035,ETH,C2H6,"Colorless gas, colorless liquid; odorless",0.45 (liquid),Saturated hydrocarbon,-89°C -128°F,- 180°C -292°F,v. High,v. High,1.04,Insoluble,Liquefied Flammable Gas (LFG),D,-211,3 to 12.5%,959,"Stop flow of gas; CO2, dry chemical","Shut off gas supply, then use dry chemical or CO2. Tanks exposed to fire should be kept cool with a continuous spray of water.","Dangerous, when exposed to heat or flame. Unless the flow of gas can be stopped, extinguishing a fire will permit accumulation of an explosive concentration of vapor, and subsequent explosion or re-flash.",Unavailable,899,Unavailable,Unavailable,"Inhalation-headache, dizziness, drowsiness. Skin contact—frostbite.",Exposure of guinea pigs to concentrations of from 4.7 to 5.5% for 2 hours caused only slight drowsiness and irregular respiration.,,,"Vapor—remove to fresh air; if breathing stops, apply artificial respiration. If the liquid has spilled onto the skin, points of contact may be frostbitten; handle gently and protect from mechanical damage. DO NOT RUB. Get medical attention.",Stable.,Noncorrosive,,,Group 31 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister respirator available. Liquid will evaporate rapidly. Secure all possible sources of ignition. If a spill occurs, call the National Response Center, 800-424-8802.",,Simple asphyxiant. Breathing vapor may cause unconsciousness without warning because of lack of oxygen. Contact with liquid will cause frostbite.,"Boiling point, freezing point, vapor pressure, and vapor density values were not legible in the text layer for this page.",130,USCG Hazardous Chemical Data,
ETHANOLAMINE,Aminoethanol; 2-Aminoethanol; beta-Aminoethyl alcohol; Colamine; Ethylolamine; 2-Hydroxyethylamine; beta-Hydroxyethylamine; Monoethanolamine,2491,MEA,HOCH2CH2NH2,Colorless liquid; ammonia-like odor,1.02,Amine,172°C 342°F,10°C 50°F,0.48,0.01,2.1,Complete,E: Combustible liquid,D,200,Unavailable,greater than 500,"CO2, dry chemical, alcohol foam, water fog",Respiratory and body protection should be worn by fire parties.,"Moderate hazard, when exposed to heat or flame. Irritating vapors generated when heated.","2,2,2",Unavailable,3,3,Respiratory irritation will range from itching to severe burning depending upon concentration.,50 ppm for 30 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Oxygen, administered by trained personnel, is often helpful. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.","It will oxidize in the presence of air, so is often shipped under a pad of inert gas. Ethanolamine is a reactive material combining chemically with many other substances.",Corrosive to copper and its alloys; also attacks rubber.,,,Group 8 of compatibility chart.,"Wear butyl rubber gloves, face shield or all-purpose canister respirator, protective clothing. Avoid contact with liquid. Cover spill with sodium bisulfate. Wash with excess of water. If a spill occurs, call the National Response Center, 800-424-8802.",,Liquid contact causes severe eye irritation. Vapor inhalation causes respiratory irritation.,,131,USCG Hazardous Chemical Data,
ETHOXY TRIGLYCOL,2-[2-(2-Ethoxyethoxy)ethoxy]ethanol; Ethoxytriethylene glycol; Triethylene glycol ethyl ether; Triglycol ethyl ether; Triglycol monoethyl ether,,ETG,C2H5O(CH2)2O(CH2)2OCH2CH2OH,Colorless and practically odorless,1.02,Glycol ether,255°C 491°F,-19°C 2°F,0.01,v low,6.14,Complete,E: Combustible liquid,C,275,Unavailable,Unavailable,"Carbon dioxide, dry chemical, alcohol foam",Water and foam may be ineffective on fire. Cool exposed tanks with water.,"Slight fire hazard, when exposed to heat or flame.","0,0,0",Unavailable,Unavailable,Unavailable,No appreciable hazard in ordinary handling or use.,Not pertinent.,,,Eye contact—flush gently with water.,Stable.,Usual materials of construction are suitable.,,,Group 40 of compatibility chart.,"Avoid contact with liquid. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,"Under ordinary conditions of handling, not considered toxic.",,132,USCG Hazardous Chemical Data,
ETHYL ACETATE,"Acetic acid, ethyl ester; Acetic ester; Acetic ether; Ethyl ethanoate; Vinegar naphtha",1173,ETA,CH3COOC2H5,"Colorless liquid; pleasant, fruity odor",0.9,Ester,77°C 171°F,-83°C -117°F,,3.27,3.04,0.087,C: Flammable liquid,D,24 (cc),2.2 to 11.5%,800,"CO2, alcohol foam, water fog, dry chemical",Use of dry chemical where it can get into a tank of ethyl acetate is not recommended. Fire involving spills outside of tanks can be extinguished with dry chemical.,Ethyl acetate is highly flammable and its vapors form explosive mixtures with air. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"1,1,2",100,400,400,"Headache, irritation of respiratory passages and eyes.",1000 ppm for 5 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Stable. Will hydrolize (react with water) on standing to form acetic acid and ethyl alcohol. This reaction is greatly accelerated by bases (alkalies). Can react vigorously with oxidizing materials.,Softens and dissolves rubber and many plastics.,"Acetic acid, ethyl alcohol (on hydrolysis).",,Group 34 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 100 mmHg at 27°C.,Vapor causes some irritation. Absorption is chiefly by inhalation. Continued skin contact will dry and crack skin with chance of dermatitis and infection.,,133,USCG Hazardous Chemical Data,
ETHYL ACRYLATE,"Acrylic acid, ethyl ester; Ethyl propenoate; Ethyl 2-propenoate; 2-Propenoic acid, ethyl ester",1917,EAC,CH2=CHCOOC2H5,Colorless liquid; pungent odor,0.93,Acrylates,99°C 211°F,-39°C -103°F,29.3,1.4,3.5,0.015,C: Flammable liquid,D,60 (oc); 48°F (TCC),1.8 to 9.5% (calculated),700,"CO2, dry chemical, water fog, alcohol foam","Keep tank cool with a water spray to prevent polymerization. Wear chemical protective clothing, eye protection and self-contained breathing apparatus.","Ignited by heat, sparks or open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area. Fire may cause violent rupture of tank. Toxic and irritating vapors generated when heated.","3,2,3",0.00047,5/Skin,5,"Eye and throat irritation, shortness of breath, and convulsions.",50 ppm for 15 minutes. 2000 ppm vapor killed rats in 4 hours with death attributable to severe pulmonary irritation.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Will polymerize spontaneously if not inhibited.,Usual materials of construction are suitable.,,Will polymerize spontaneously if not inhibited.,Group 14 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Suspected carcinogen. Vapor irritating.,,134,USCG Hazardous Chemical Data,
ETHYL ALCOHOL,Alcohol; Alcohol Anhydrous; Alcohol C-2; Cologne spirit; Denatured alcohol; Ethanol; Ethyl hydroxide; Fermentation alcohol; Grain alcohol; Methyl carbinol,1170,EAL,C2H5OH,Colorless liquid; smells like wine or shellac thinner,0.79,Alcohol,78°C 173°F,-114°C -173°F,44,2.3,1.6,Complete,C: Flammable liquid,D,65,3.3 to 19%,793,"CO2, dry chemical, alcohol foam, water fog",Water may not be effective unless large quantities are used.,Dangerous when exposed to heat or flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"1,0,1",10,1000,1000,"Dizziness, double vision, and other classic alcohol intoxication symptoms. These may be accompanied by symptoms such as vomiting, attributable to the denaturant.","5000-10,000 ppm irritates eyes and upper respiratory tract; stupor and drowsiness may result after an hour at this concentration. More than 1000 ppm may cause headache and eye irritation.",,,"Vapor—remove victim for fresh air; if breathing stops, apply artificial respiration. Eye contact—gently flush with water for 15 minutes. Get medical advice or attention.",Stable.,Usual materials of construction are suitable.,,,Group 20 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Secure ignition sources. Spills may be flushed away with water, but should not be flushed into a confined space because of the explosion hazard. If a spill occurs, call the National Response Center, 800-424-8802.",,One of the least hazardous industrial organic solvents.,,135,USCG Hazardous Chemical Data,
ETHYLAMINE,"Aminoethane; Ethylamine, anhydrous; Monoethylamine",1036,EAM,CH3CH2NH2,Colorless liquid or gas; strong ammonia-like odor.,0.8,Amine,17°C 62°F,-81°C -114°F,880,29.8,1.55,Complete,A: Flammable liquid,C,less than 0,3.5 to 14.0%,725,"Alcohol foam, carbon dioxide, or dry chemical",Keep burning tank and tanks adjacent to it cool with a water spray.,Toxic oxides of nitrogen may form in fire. Dangerous. Keep away from heat and open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"3,2,3",Unavailable,10,10,Liquid causes eye injury and skin irritation.,Unavailable,,,"In case of contact with eyes or skin, immediately flush with plenty of water for at least 15 minutes; for eyes get medical attention. Remove contaminated clothing and shoes at once.",Stable.,"Steel, stainless steel and nickel are compatible. Aluminum and copper should not be used.",,,Group 7 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"If possible, wear butyl rubber gloves, face shield or all-purpose canister respirator, and protective clothing. Secure ignition sources. Cover with sodium bisulfate. Clean up. Do not flush spill into confined spaces where flammable vapors can accumulate. If a spill occurs, call the National Response Center, 800-424-8802.",,Direct contact can cause burns.,,136,USCG Hazardous Chemical Data,
"ETHYLAMINE SOLUTION, 70%","Ethylamine, aqueous solutions; MEA, 70%; Monoethylamine solution, 70%",2270,EAN,C2H5NH2,"Colorless liquid; sharp, ammoniacal odor",0.8,Amine,38°C 100°F,-90°C -130°F,450,14.8,1.56,Complete,A: Flammable liquid,D,below 0,3.5 to 14.0%,723,"Water fog, dry chemical, CO2, alcohol foam","Wear protective clothing, self-contained breathing apparatus, and eye protection.",Highly flammable vapor. Keep away from ignition sources. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"3,2,3",0.83,10,10,"Inhalation: Irritation, coughing, chest pain, pulmonary edema. Ingestion: severe burns of mouth and stomach. Skin and eyes: Severe irritation and burns.",High volatility means vapor concentration can easily exceed TLV even at room temperature.,,,Get medical attention. Skin or eye contact: Flush skin and eyes with water for 15 minutes. Inhalation: Remove to fresh air and provide mouth to mouth resuscitation or oxygen as needed.,Stable. Reacts with acids and oxidizers. Reacts explosively with mercury.,"Suitable: Stainless steel, mild steel, nickel, tinned iron. Unsuitable: Copper, aluminum, zinc, brass, bronze, galvanized iron, polyethylene, rubber.",,,Group 7 of compatibility chart.,"Avoid contact and stay upwind. Eliminate ignition sources. Wear self-contained breathing apparatus or amine-type mask, plastic gloves, face shield, goggles. Wash clothing before reuse. Flush spill area with water. Do not flush spill into confined spaces where flammable vapors can accumulate. If a spill occurs, call the National Response Center, 800-424-8802.",,This very volatile solution produces a toxic irritating vapor.,,137,USCG Hazardous Chemical Data,
ETHYLBENZENE,EB; Ethylbenzol; Phenylethane,1175,ETB,C6H5C2H5,Colorless liquid; aromatic odor,0.87,Aromatic hydrocarbon,136°C 277°F,-95°C -139°F,15.3,0.4,3.66,Negligible,C: Flammable liquid,D,59,1.0 to 6.7%,810,"CO2, dry chemical, foam, water fog","Fight in the same manner as any Grade C petroleum fire. Firefighters should wear self-contained breathing apparatus, protective clothing and eye protection.",Irritating vapors are generated when heated. Vapors may travel considerable distances from a source in a flammable concentration. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,"2,2,2",140,100,100,"Irritation to eyes and throat, dizziness and a feeling of chest constriction.",200 ppm for 30 minutes; 1000 ppm irritates skin and mucous membranes. 2000 ppm extremely irritating.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Stable.,"Rubber in prolonged exposure to ethylbenzene first swells, then softens.",,,Group 32 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.","* Pollution Category C oil-like, 33 CFR 151.49.","Vapors cause eye irritation, dizziness, narcosis (paralysis), burns of the skin, sensation of chest constriction. Irritation of respiratory tract, conjunctivitis, dermatitis. Exfoliation of large patches of skin and chapped appearance result.",,138,USCG Hazardous Chemical Data,
ETHYL BUTANOL,2-Ethylbutanol; 2-Ethyl-1-butanol; 2-Ethyl butyl alcohol; sec-Hexyl alcohol; sec-Pentylcarbinol; Pseudohexyl alcohol,2275,EBT,CH3CH2CH(C2H5)CH2OH,Colorless liquid; mild odor,0.83,Alcohols,146°C 293°F,-114°C -173°F,0.9,0.07,3.4,Slight,D: Combustible liquid,D,137,1.9 to 8.8%,580 (calculated),"Water spray, dry chemical, foam or CO2.","Cool exposed tanks with water. If a leak or spill has not ignited, use water spray to disperse vapors.",Moderate fire hazard when exposed to heat or flame.,"1,2,0",Unavailable,Unavailable,Unavailable,Animals tests show minor skin irritation after 24 hours. Severe surface damage of eye when alcohol in sufficient concentration. No deaths upon ingestion.,Unavailable,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Eye and skin contact—gently flush affected areas with water for 15 minutes. Get medical attention.",Stable.,Usual materials of construction are suitable.,,,Group 20 of compatibility chart.,"Secure ignition sources. Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. If a spill occurs, call the National Response Center, 800-424-8802.",,Low toxicity.,,139,USCG Hazardous Chemical Data,
ETHYL CHLORIDE,"Chloroethane; Ether, hydrochloric; Hydrochloric ether; Monochloroethane; Muriatic ether",1037,ECL,CH3CH2Cl,Colorless gas or liquid; ether-like odor,0.92,Halogenated hydrocarbon,12°C 54°F,-139°C -218°F,1000,34.5,2.22,slight,A: Flammable liquid,D,-45,3.6 to 14.8%,966,"Stop flow of gas; CO2, dry chemical, water fog",Fire parties must wear respiratory protection. Keep tanks cool with water spray.,"A highly flammable, volatile liquid; produces highly poisonous phosgene gas when ignited. Unless flow of gas can be stopped, putting out an ethyl chloride fire will permit accumulation of an explosive vapor concentration.","1,1,1",Unavailable,1000,1000,Irritating to eyes. Drowsiness and dizziness. Frostbitten areas will be white.,"Inhalation of 19,000 ppm in air caused partial intoxication in one minute which increased to distinct intoxication with slight analgesia in 12 minutes.",,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and immediately flush affected areas with water for 15 minutes. Handle frostbitten parts gently. Get medical advice or attention.",Dangerous reaction is possible with oxidizing agents. Slow hydrolysis (reaction with water) in presence of salt or fresh water to form toxic and corrosive fumes of hydrogen chloride gas.,Compatible with most materials of construction.,Hydrogen chloride gas (on hydrolysis).,,Group 36 of compatibility chart.,"Wear rubber gloves, self-contained breathing apparatus, protective clothing. Secure ignition sources. If water temperature is above 54°F, the ethyl chloride will soon boil off. Do not flush spill into confined spaces where flammable vapors can accumulate. Personnel not wearing respiratory protection should be kept upwind of the spill. If a spill occurs, call the National Response Center, 800-424-8802.",# No Determination,Vapor harmful. Liquid may cause skin or eye injury similar to frostbite.,"Health Hazard Ratings second digit printed as '7' in source text, which is out of the normal 0-4 rating scale; preserved as printed rather than corrected, and flagged for visual confirmation.",140,USCG Hazardous Chemical Data,
ETHYLENE,Bicarburetted hydrogen; Elayl; Ethene; Olefiant gas,compressed: 1962; refrigerated: 1038,ETL,CH2CH2,"Colorless liquid or gas; very faint, sweet odor.",0.34,Olefin,-104°C -155°F,-169°C -272°F,,,0.98,Negligible,Liquefied Flammable Gas (LFG),C,-213,2.7 to 34%,842,"Stop flow of gas; CO2, dry chemical, water fog",Tanks exposed in fire should be kept cool with a water spray. Attempt to shut off leak. Wear self-contained breathing apparatus.,"Unless flow of gas can be stopped, putting out an ethylene fire will permit the accumulation of an explosive vapor concentration. Vapors are anesthetic.","0,0,1",Unavailable,Unavailable,Unavailable,Dizziness and drowsiness. Contact with liquid will cause frostbite.,Unavailable,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. If the liquid has spilled onto the skin, points of contact may be frostbitten; handle gently and protect from mechanical damage. DO NOT RUB. Get medical attention.",Ethylene is a reactive compound but must be catalyzed before most reactions take place.,Ethylene is not corrosive.,,,Group 30 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister available. For a gas leak from a faulty tank, keep concentration of gas below the explosive mixture range by forced ventilation. Avoid contact with liquid. Secure ignition sources. The liquid will rapidly boil away, leaving no residue. If a spill occurs, call the National Response Center, 800-424-8802.",* Ethylene is a gas at temperatures above 48.7°F.,A simple asphyxiant. High concentrations cause anesthesia.,,141,USCG Hazardous Chemical Data,
ETHYLENE CHLOROHYDRIN,2-Chlorethanol; 2-Chloroethanol; 2-Chloroethyl alcohol; Ethylene chlorhydrin; Glycol chlorohydrin,1135,ECH,ClCH2CH2OH,Colorless liquid; faint alcohol-ether-like odor.,1.21,Alcohol,128°C 262°F,-69°C -92°F,,,2.78,Complete,D: Combustible liquid,D,140,4.9 to 15.9%,797,"Water, CO2, alcohol foam and dry chemical",Wear self-contained breathing apparatus and full protective clothing. Cool exposed tanks with water.,"Moderate fire hazard when exposed to heat or flame. Dangerous; when heated to decomposition, emits highly toxic fumes of phosgene.","3,2,0",High,4/Skin,1/Skin,"Vapor—causes nausea, vomiting, vertigo, incoordination, numbness.",Absorption by inhalation or skin may cause death. Inhalation—240 ppm lethal to rats in four hours. Human fatality at 350 ppm for two and one-half hours.,,,"Vapor—remove victim from vapor and administer oxygen if available. Administer artificial respiration if necessary. If swallowed, induce vomiting. Call a doctor.",Dangerously decomposes at high temperatures.,Steel is satisfactory.,Phosgene (on decomposition).,,Group 20 of compatibility chart.,"Wear neoprene gloves, plastic protective clothing and self-contained breathing apparatus. Provide good ventilation. Secure all ignition sources. Wash skin immediately with water. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 6.8 mmHg at 25°C. † Unavailable,Little margin of safety between early reversible symptoms and fatal intoxication. Fatal amounts may be absorbed by the skin.,,142,USCG Hazardous Chemical Data,
ETHYLENE CYANOHYDRIN,2-Cyanoethanol; Glycol cyanohydrin; Hydracrylonitrile; 1-Hydroxy-2-cyanoethane; 3-Hydroxypropanenitrile; 3-Hydroxypropionitrile; beta-Hydroxypropionitrile,,ETC,HOCH2CH2CN,Straw-colored liquid; not unpleasant odor.,1.04,Alcohol,Decomposes 227°C 440°F,-46°C -50°F,V.Low,V.Low,2.45,Complete,E: Combustible liquid,D,265,2.3 to 12.1%,922,"CO2, dry chemical, alcohol foam",Firefighters should wear self-contained breathing apparatus and full protective clothing.,"When heated, ethylene cyanohydrin gives off poisonous fumes of cyanides. Reacts with water to produce cyanide gas, which is highly poisonous and flammable vapors.","0,0,2",Unavailable,Unavailable,Unavailable,"Headache, dizziness, blueness of lips and fingernails.",Unavailable,,,"If ingested, induce vomiting at once; vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention. See Medical Kit Information, Appendix B","Avoid basic contamination to prevent polymerization. Stable on prolonged storage. Reacts with water. Reacts vigorously with oxidizing materials, chlorsulfonic acid, oleum, sodium hydroxide, sulfuric acid.",Corrosive to mild steel.,Cyanide gas (on reaction with water).,Avoid basic contamination to prevent polymerization.,Group 20 of compatibility chart.,"Avoid all contact with liquid or vapor. Wear rubber gloves, face shield, full protective clothing. Secure ignition sources. Flood with copious amounts of water. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,Toxic by ingestion. Avoid high vapor concentrations.,,143,USCG Hazardous Chemical Data,
ETHYLENEDIAMINE,"1,2-Diaminoethane; 1,2-Ethanediamine; Ethylenediamine, anhydrous",1604,EDA,NH2CH2CH2NH2,Colorless liquid; mildly ammonia-like odor,0.91,Amine,117°C 243°F,11°C 52°F,10.7,0.6,2.1,Complete,D: Combustible liquid,D,99,5.8 to 11.1%,725,"CO2, dry chemical, alcohol foam, water fog","Because this material can cause severe eye and skin burns and respiratory distress, fire parties must wear full body and respiratory protection.",Ignited by heat and open flame. Irritating vapors are generated when heated.,"3,3,3",Unavailable,10,10,"Coughing, redness of eyes, wheezing breath. Liquid contact can cause immediate skin damage and blistering.",400 ppm has been reported to produce immediate and severe irritation to nose and throat.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Oxygen, administered by trained personnel, can prove helpful. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.","This is a reactive substance, combining chemically with many others.",Copper and its alloys are corroded readily and should be avoided.,,,Group 7 compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear butyl rubber gloves, all-purpose canister respirator, protective clothing. Secure ignition sources. Keep unprotected personnel away from spill. If possible cover with sodium bisulfate. Spray with water. An alternative is to reduce vapor hazard by covering with alcohol foam. If a spill occurs, call the National Response Center, 800-424-8802.",On-scene supervisors should avoid vapor exposure to persons who have asthma or other respiratory ailments.,Causes severe burns. Vapor harmful.,,144,USCG Hazardous Chemical Data,
ETHYLENE DIBROMIDE,"Bromofume; 1,2-Dibromoethane; sym-Dibromoethane; EDB; Ethane, 1,2-dibromo-; Ethylene bromide; Glycol dibromide",1605,EDB,BrCH2CH2Br,Colorless liquid; sweet odor,2.17 at 60°F,Halogenated hydrocarbon,131°C 268°F,8°C 48°F,9,0.4,6.5,Slight,NA,D,None,None,960,"Water spray, dry chemical, foam or CO2",Fire fighters should wear full-protective clothing and respiratory protection.,"Ethylene dibromide is difficulty flammable. Dangerous, when heated to decomposition, it emits highly toxic fumes of bromides.","1,1,3",22,Unavailable,Skin,Blistering of skin; destruction of tissue.,200 ppm for one hour; 5000 ppm for several minutes might be fatal.,,,Contaminated shoes and clothing should be removed at once and the skin should be thoroughly cleaned with soap and water. If eyes are accidently contaminated they should be flushed thoroughly with flowing water for 15 minutes. A physician should be consulted.,"Stable, has no oxidizing or polymerizing characteristics. Will not react with air, water vapor, fresh or salt water at temperatures below 115°F.","Reacts vigorously with aluminum and magnesium. No appreciable attack on steel, wood, or cloth. Softens and deteriorates rubber and paint.",,,Group 36 of compatibility chart.,"Wear rubber gloves, self-contained breathing apparatus, protective clothing. Wash away with water. If a spill occurs, call the National Response Center, 800-424-8802.",,"Suspected carcinogen. Prolonged contact with skin should be avoided. Toxic by inhalation, skin contact and ingestion.",,145,USCG Hazardous Chemical Data,
