49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
G I ,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,UN3305,,"2.3, 2.1, 8",1,None,192,245,Forbidden,Forbidden,D,"17, 40",,
G I ,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,UN3305,,"2.3, 2.1, 8","2, B9, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,"17, 40",,
G I ,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,UN3305,,"2.3, 2.1, 8","3, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,"17, 40",,
G I ,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,UN3305,,"2.3, 2.1, 8",4,None,"302, 305","314, 315",Forbidden,Forbidden,D,"17, 40",,
G ,"Compressed gas, toxic, flammable, n.o.s. Inhalation hazard Zone A",2.3,UN1953,,"2.3, 2.1",1,None,192,245,Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, flammable, n.o.s. Inhalation hazard Zone B",2.3,UN1953,,"2.3, 2.1","2, B9, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone C",2.3,UN1953,,"2.3, 2.1","3, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone D",2.3,UN1953,,"2.3, 2.1",4,None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone A",2.3,UN1955,,2.3,1,None,192,245,Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone B",2.3,UN1955,,2.3,"2, B9, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone C",2.3,UN1955,,2.3,"3, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone D",2.3,UN1955,,2.3,4,None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G I ,"Compressed gas, toxic, oxdizing, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,UN3306,,"2.3, 5.1, 8",1,None,192,244,Forbidden,Forbidden,D,"40, 89, 90",,
G I ,"Compressed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,UN3306,,"2.3, 5.1, 8","2, B9, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,"40, 89, 90",,
G I ,"Compressed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,UN3306,,"2.3, 5.1, 8","3, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,"40, 89, 90",,
G I ,"Compressed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,UN3306,,"2.3, 5.1, 8",4,None,"302, 305","314, 315",Forbidden,Forbidden,D,"40, 89, 90",,
G ,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone A",2.3,UN3303,,"2.3, 5.1",1,None,192,245,Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone B",2.3,UN3303,,"2.3, 5.1","2, B9, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone C",2.3,UN3303,,"2.3, 5.1","3, B14",None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
G ,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone D",2.3,UN3303,,"2.3, 5.1",4,None,"302, 305","314, 315",Forbidden,Forbidden,D,40,,
D ,Consumer commodity,ORM-D,,,None,,"156, 306","156, 306",None,30 kg gross,30 kg gross,A,,,
G ,"Contrivances, water-activated, with burster, expelling charge or propelling charge",1.2L,UN0248,II,1.2L,,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
G ,"Contrivances, water-activated, with burster, expelling charge or propelling charge",1.3L,UN0249,II,1.3L,,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,Copper acetoarsenite,6.1,UN1585,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Copper acetylide,Forbidden,,,,,,,,,,,,,
,Copper amine azide,Forbidden,,,,,,,,,,,,,
,Copper arsenite,6.1,UN1586,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Copper based pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2776,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,B,40,,
,"Copper based pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2776,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,40,,
,"Copper based pesticides, liquid, toxic",6.1,UN3010,I,6.1,"T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Copper based pesticides, liquid, toxic",6.1,UN3010,II,6.1,"IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Copper based pesticides, liquid, toxic",6.1,UN3010,III,6.1,"IB3, T7, TP2, TP28",153,203,241,60 L,220 L,A,40,,
,"Copper based pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3009,I,"6.1, 3","T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Copper based pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3009,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Copper based pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3009,III,"6.1, 3","B1, IB3, T7, TP2, TP28",153,203,242,60 L,220 L,A,40,,
,"Copper based pesticides, solid, toxic",6.1,UN2775,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Copper based pesticides, solid, toxic",6.1,UN2775,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Copper based pesticides, solid, toxic",6.1,UN2775,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,Copper chlorate,5.1,UN2721,II,5.1,"A1, IB8, IP2, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Copper chloride,8,UN2802,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
,Copper cyanide,6.1,UN1587,II,6.1,"IB8, IP2, IP4, T3, TP33",153,204,242,25 kg,100 kg,A,52,,
,"Copper selenate, see Selenates or Selenites",,,,,,,,,,,,,,
,"Copper selenite, see Selenates or Selenites",,,,,,,,,,,,,,
,Copper tetramine nitrate,Forbidden,,,,,,,,,,,,,
A W ,Copra,4.2,UN1363,III,4.2,"IB8, IP3, IP7",None,213,241,Forbidden,Forbidden,A,"13, 19, 48, 119",,
,"Cord, detonating, flexible",1.4D,UN0289,II,1.4D,,None,62,None,Forbidden,75 kg,6,,,
,"Cord, detonating, flexible",1.1D,UN0065,II,1.1D,102,63(a),62,None,Forbidden,Forbidden,7,,,
,"Cord, detonating, mild effect or Fuse, detonating, mild effect metal clad",1.4D,UN0104,II,1.4D,,None,62,None,Forbidden,75 kg,6,,,
,"Cord, detonating or Fuse, detonating metal clad",1.1D,UN0290,II,1.1D,,None,62,None,Forbidden,Forbidden,7,,,
,Cord detonating or Fuse detonating metal clad,1.2D,UN0102,II,1.2D,,None,62,None,Forbidden,Forbidden,7,,,
,"Cordeau detonant fuse, see Cord, detonating, etc; Cord, detonating, flexible",,,,,,,,,,,,,,
,"Cord, igniter",1.4G,UN0066,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,"Cordite, see Powder, smokeless",,,,,,,,,,,,,,
G ,"Corrosive liquid, acidic, inorganic, n.o.s.",8,UN3264,I,8,"A6, B10, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,B,40,,
G ,"Corrosive liquid, acidic, inorganic, n.o.s.",8,UN3264,II,8,"B2, IB2, T11, TP2, TP27",154,202,242,1 L,30 L,B,40,,
G ,"Corrosive liquid, acidic, inorganic, n.o.s.",8,UN3264,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,40,,
G ,"Corrosive liquid, acidic, organic, n.o.s.",8,UN3265,I,8,"A6, B10, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,B,40,,
G ,"Corrosive liquid, acidic, organic, n.o.s.",8,UN3265,II,8,"B2, IB2, T11, TP2, TP27",154,202,242,1 L,30 L,B,40,,
G ,"Corrosive liquid, acidic, organic, n.o.s.",8,UN3265,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,40,,
G ,"Corrosive liquid, basic, inorganic, n.o.s.",8,UN3266,I,8,"A6, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,B,"40, 52",,
G ,"Corrosive liquid, basic, inorganic, n.o.s.",8,UN3266,II,8,"B2, IB2, T11, TP2, TP27",154,202,242,1 L,30 L,B,"40, 52",,
G ,"Corrosive liquid, basic, inorganic, n.o.s.",8,UN3266,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,"40, 52",,
G ,"Corrosive liquid, basic, organic, n.o.s.",8,UN3267,I,8,"A6, B10, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,B,"40, 52",,
G ,"Corrosive liquid, basic, organic, n.o.s.",8,UN3267,II,8,"B2, IB2, T11, TP2, TP27",154,202,242,1 L,30 L,B,"40, 52",,
G ,"Corrosive liquid, basic, organic, n.o.s.",8,UN3267,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,"40, 52",,
G ,"Corrosive liquid, self-heating, n.o.s.",8,UN3301,I,"8, 4.2","A6, B10",None,201,243,0.5 L,2.5 L,D,,,
G ,"Corrosive liquid, self-heating, n.o.s.",8,UN3301,II,"8, 4.2","B2, IB1",154,202,242,1 L,30 L,D,,,
G ,"Corrosive liquids, flammable, n.o.s.",8,UN2920,I,"8, 3","A6, B10, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,C,"25, 40",,
G ,"Corrosive liquids, flammable, n.o.s.",8,UN2920,II,"8, 3","B2, IB2, T11, TP2, TP27",None,202,243,1 L,30 L,C,"25, 40",,
G ,"Corrosive liquids, n.o.s.",8,UN1760,I,8,"A6, A7, B10, T14, TP2, TP27",None,201,243,0.5 L,2.5 L,B,40,,
G ,"Corrosive liquids, n.o.s.",8,UN1760,II,8,"B2, IB2, T11, TP2, TP27",154,202,242,1 L,30 L,B,40,,
G ,"Corrosive liquids, n.o.s.",8,UN1760,III,8,"IB3, T7, TP1, TP28",154,203,241,5 L,60 L,A,40,,
G ,"Corrosive liquids, oxidizing, n.o.s.",8,UN3093,I,"8, 5.1","A6, A7",None,201,243,Forbidden,2.5 L,C,89,,
G ,"Corrosive liquids, oxidizing, n.o.s.",8,UN3093,II,"8, 5.1","A6, A7, IB2",None,202,243,1 L,30 L,C,89,,
G ,"Corrosive liquids, toxic, n.o.s.",8,UN2922,I,"8, 6.1","A6, A7, B10, T14, TP2, TP13, TP27",None,201,243,0.5 L,2.5 L,B,40,,
G ,"Corrosive liquids, toxic, n.o.s.",8,UN2922,II,"8, 6.1","B3, IB2, T7, TP2",154,202,243,1 L,30 L,B,40,,
G ,"Corrosive liquids, toxic, n.o.s.",8,UN2922,III,"8, 6.1","IB3, T7, TP1, TP28",154,203,241,5 L,60 L,B,40,,
G ,"Corrosive liquids, water-reactive, n.o.s.",8,UN3094,I,"8, 4.3","A6, A7",None,201,243,Forbidden,1 L,E,,,
G ,"Corrosive liquids, water-reactive, n.o.s.",8,UN3094,II,"8, 4.3","A6, A7",None,202,243,1 L,5 L,E,,,
G ,"Corrosive solid, acidic, inorganic, n.o.s.",8,UN3260,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,B,,,
G ,"Corrosive solid, acidic, inorganic, n.o.s.",8,UN3260,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,B,,,
G ,"Corrosive solid, acidic, inorganic, n.o.s.",8,UN3260,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
G ,"Corrosive solid, acidic, organic, n.o.s.",8,UN3261,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,B,,,
G ,"Corrosive solid, acidic, organic, n.o.s.",8,UN3261,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,B,,,
G ,"Corrosive solid, acidic, organic, n.o.s.",8,UN3261,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
G ,"Corrosive solid, basic, inorganic, n.o.s.",8,UN3262,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,B,52,,
G ,"Corrosive solid, basic, inorganic, n.o.s.",8,UN3262,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,B,52,,
G ,"Corrosive solid, basic, inorganic, n.o.s.",8,UN3262,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,52,,
G ,"Corrosive solid, basic, organic, n.o.s.",8,UN3263,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,B,52,,
G ,"Corrosive solid, basic, organic, n.o.s.",8,UN3263,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,B,52,,
G ,"Corrosive solid, basic, organic, n.o.s.",8,UN3263,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,52,,
G ,"Corrosive solids, flammable, n.o.s.",8,UN2921,I,"8, 4.1","IB6, T6, TP33",None,211,242,1 kg,25 kg,B,"12, 25",,
G ,"Corrosive solids, flammable, n.o.s.",8,UN2921,II,"8, 4.1","IB8, IP2, IP4, T3, TP33",None,212,242,15 kg,50 kg,B,"12, 25",,
G ,"Corrosive solids, n.o.s.",8,UN1759,II,8,"128, IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,,,
G ,"Corrosive solids, n.o.s.",8,UN1759,III,8,"128, IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
G ,"Corrosive solids, n.o.s.",8,UN1759,I,8,"IB7, IP1, T6, TP33",None,211,242,1 kg,25 kg,B,,,
G ,"Corrosive solids, oxidizing, n.o.s.",8,UN3084,I,"8, 5.1","T6, TP33",None,211,242,1 kg,25 kg,C,,,
G ,"Corrosive solids, oxidizing, n.o.s.",8,UN3084,II,"8, 5.1","IB6, IP2, T3, TP33",None,212,242,15 kg,50 kg,C,,,
G ,"Corrosive solids, self-heating, n.o.s.",8,UN3095,I,"8, 4.2","T6, TP33",None,211,243,1 kg,25 kg,C,,,
G ,"Corrosive solids, self-heating, n.o.s.",8,UN3095,II,"8, 4.2","IB6, IP2, T3, TP33",None,212,242,15 kg,50 kg,C,,,
G ,"Corrosive solids, toxic, n.o.s.",8,UN2923,I,"8, 6.1","IB7, T6, TP33",None,211,242,1 kg,25 kg,B,40,,
G ,"Corrosive solids, toxic, n.o.s.",8,UN2923,II,"8, 6.1","IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,B,40,,
G ,"Corrosive solids, toxic, n.o.s.",8,UN2923,III,"8, 6.1","IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,B,"40, 95",,
G ,"Corrosive solids, water-reactive, n.o.s.",8,UN3096,I,"8, 4.3","IB4, IP1, T6, TP33",None,211,243,1 kg,25 kg,D,,,
G ,"Corrosive solids, water-reactive, n.o.s.",8,UN3096,II,"8, 4.3","IB6, IP2, T3, TP33",None,212,242,15 kg,50 kg,D,,,
D W ,Cotton,9,NA1365,,9,"137, IB8, IP2, IP4, W41",None,None,None,No limit,No limit,A,,,
A W ,"Cotton waste, oily",4.2,UN1364,III,4.2,"IB8, IP3, IP7",None,213,None,Forbidden,Forbidden,A,54,,
A I W ,"Cotton, wet",4.2,UN1365,III,4.2,"IB8, IP3, IP7",None,204,241,Forbidden,Forbidden,A,,,
,"Coumarin derivative pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN3024,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,B,40,,
,"Coumarin derivative pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN3024,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,40,,
,"Coumarin derivative pesticides, liquid, toxic",6.1,UN3026,I,6.1,"T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Coumarin derivative pesticides, liquid, toxic",6.1,UN3026,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,B,40,,
,"Coumarin derivative pesticides, liquid, toxic",6.1,UN3026,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,40,,
,"Coumarin derivative pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3025,I,"6.1, 3","T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Coumarin derivative pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3025,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Coumarin derivative pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3025,III,"6.1, 3","B1, IB3, T7, TP1, TP28",153,203,242,60 L,220 L,A,40,,
,"Coumarin derivative pesticides, solid, toxic",6.1,UN3027,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Coumarin derivative pesticides, solid, toxic",6.1,UN3027,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Coumarin derivative pesticides, solid, toxic",6.1,UN3027,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,"Cresols, liquid",6.1,UN2076,II,"6.1, 8","IB2, IP2, IP4, T7, TP2",153,202,243,1 L,30 L,B,,,
,"Cresols, solid",6.1,UN3455,II,"6.1, 8","IB8, IP2, IP4, T3, TP33",153,212,242,15 kg,50 kg,B,,,
,Cresylic acid,6.1,UN2022,II,"6.1, 8","IB2, T7, TP2, TP13",153,202,243,1 L,30 L,B,,,
,"Crotonaldehyde or Crotonaldehyde, stabilized",6.1,UN1143,I,"6.1, 3","2, 175, B9, B14, B32, B74, B77, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,B,40,,
,"Crotonic acid, liquid",8,UN3472,III,8,"IB8, T1",154,203,241,5 L,60 L,A,12,,
,"Crotonic acid, solid",8,UN2823,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,12,,
,Crotonylene,3,UN1144,I,3,"T11, TP2",150,201,243,1 L,30 L,E,,,
,Cupriethylenediamine solution,8,UN1761,II,"8, 6.1","IB2, T7, TP2",154,202,243,1 L,30 L,A,,,
,Cupriethylenediamine solution,8,UN1761,III,"8, 6.1","IB3, T7, TP1, TP28",154,203,242,5 L,60 L,A,95,,
,"Cutters, cable, explosive",1.4S,UN0070,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
,"Cyanide or cyanide mixtures, dry, see Cyanides, inorganic, solid, n.o.s.",,,,,,,,,,,,,,
,"Cyanides, inorganic, solid, n.o.s.",6.1,UN1588,I,6.1,"IB7, IP1, N74, N75, T6, TP33",None,211,242,5 kg,50 kg,A,52,,
,"Cyanides, inorganic, solid, n.o.s.",6.1,UN1588,II,6.1,"IB8, IP2, IP4, N74, N75, T3, TP33",153,212,242,25 kg,100 kg,A,52,,
,"Cyanides, inorganic, solid, n.o.s.",6.1,UN1588,III,6.1,"IB8, IP3, N74, N75, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
,"Cyanide solutions, n.o.s.",6.1,UN1935,III,6.1,"IB3, T7, TP2, TP13, TP28",153,203,241,60 L,220 L,A,"40, 52",,
,"Cyanide solutions, n.o.s.",6.1,UN1935,I,6.1,"B37, T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,"40, 52",,
,"Cyanide solutions, n.o.s.",6.1,UN1935,II,6.1,"IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,A,"40, 52",,
,Cyanogen,2.3,UN1026,,"2.3, 2.1",2,None,304,245,Forbidden,Forbidden,D,40,,
,Cyanogen bromide,6.1,UN1889,I,"6.1, 8","A6, A8, T6, TP33",None,211,242,1 kg,15 kg,D,40,,
,"Cyanogen chloride, stabilized",2.3,UN1589,,"2.3, 8",1,None,192,245,Forbidden,Forbidden,D,40,,
,Cyanuric chloride,8,UN2670,II,8,"IB8, IP2, IP4, T3, TP33",None,212,240,15 kg,50 kg,A,"12, 40",,
,Cyanuric triazide,Forbidden,,,,,,,,,,,,,
,Cyclobutane,2.1,UN2601,,2.1,,306,304,"314, 315",Forbidden,150 kg,B,40,,
,Cyclobutyl chloroformate,6.1,UN2744,II,"6.1, 8, 3","IB1, T7, TP2, TP13",153,202,243,1 L,30 L,A,"12, 13, 21, 25, 40, 100",,
,"1,5,9-Cyclododecatriene",6.1,UN2518,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,40,,
,Cycloheptane,3,UN2241,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,Cycloheptatriene,3,UN2603,II,"3, 6.1","IB2, T7, TP1, TP13",150,202,243,1 L,60 L,E,40,,
,Cycloheptene,3,UN2242,II,3,"B1, IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Cyclohexane,3,UN1145,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,,,
,Cyclohexanone,3,UN1915,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Cyclohexene,3,UN2256,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,,,
,Cyclohexenyltrichlorosilane,8,UN1762,II,8,"A7, B2, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,Cyclohexyl acetate,3,UN2243,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Cyclohexylamine,8,UN2357,II,"8, 3","IB2, T7, TP2",None,202,243,1 L,30 L,A,40,,
,Cyclohexyl isocyanate,6.1,UN2488,I,"6.1, 3","2, B9, B14, B32, B74, B77, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,40,,
,Cyclohexyl mercaptan,3,UN3054,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,"40, 95",,
,Cyclohexyltrichlorosilane,8,UN1763,II,8,"A7, B2, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,"Cyclonite and cyclotetramethylenetetranitramine mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc",,,,,,,,,,,,,,
,"Cyclonite and HMX mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc",,,,,,,,,,,,,,
,"Cyclonite and octogen mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc",,,,,,,,,,,,,,
,"Cyclonite, see Cyclotrimethylenetrinitramine, etc",,,,,,,,,,,,,,
,"Cyclooctadiene phosphines, see 9-Phosphabicyclononanes",,,,,,,,,,,,,,
,Cyclooctadienes,3,UN2520,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Cyclooctatetraene,3,UN2358,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Cyclopentane,3,UN1146,II,3,"IB2, T7, TP1",150,202,242,5 L,60 L,E,,,
,"Cyclopentane, methyl, see Methylcyclopentane",,,,,,,,,,,,,,
,Cyclopentanol,3,UN2244,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Cyclopentanone,3,UN2245,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Cyclopentene,3,UN2246,II,3,"IB2, IP8, T7, TP2",150,202,242,5 L,60 L,E,,,
,Cyclopropane,2.1,UN1027,,2.1,T50,306,304,"314, 315",Forbidden,150 kg,E,40,,
,"Cyclotetramethylenetetranitramine, desensitized or Octogen, desensitized or HMX, desensitized",1.1D,UN0484,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,Cyclotetramethylene tetranitramine (dry or unphlegmatized) (HMX),Forbidden,,,,,,,,,,,,,
,"Cyclotetramethylenetetranitramine, wetted or HMX, wetted or Octogen, wetted with not < 15% water, by mass",1.1D,UN0226,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"Cyclotrimethylenenitramine and octogen, mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc",,,,,,,,,,,,,,
,"Cyclotrimethylenetrinitramine and cyclotetramethylenetetranitramine mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc",,,,,,,,,,,,,,
,"Cyclotrimethylenetrinitramine and HMX mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc.",,,,,,,,,,,,,,
,"Cyclotrimethylenetrinitramine, desensitized or Cyclonite, desensitized or Hexogen, desensitized or RDX, desensitized",1.1D,UN0483,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"Cyclotrimethylenetrinitramine, wetted or Cyclonite, wetted or Hexogen, wetted or RDX, wetted with not < 15% water by mass",1.1D,UN0072,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,Cymenes,3,UN2046,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Dangerous Goods in Machinery or Dangerous Goods in Apparatus,9,UN3363,,,"136, A105",None,222,None,See A105,See A105,A,,,
,Decaborane,4.1,UN1868,II,"4.1, 6.1","A19, A20, IB6, IP2, T3, TP33",None,212,None,Forbidden,50 kg,A,74,,
,Decahydronaphthalene,3,UN1147,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,n-Decane,3,UN2247,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Deflagrating metal salts of aromatic nitroderivatives, n.o.s.",1.3C,UN0132,II,1.3C,,None,62,None,Forbidden,Forbidden,10,5E,,
,"Delay electric igniter, see Igniters",,,,,,,,,,,,,,
D ,Denatured alcohol,3,NA1987,II,3,"172, T8",150,202,242,5 L,60 L,B,,,
D ,Denatured alcohol,3,NA1987,III,3,"172, B1, T7",150,203,242,60 L,220 L,A,,,
,"Depth charges, see Charges, depth",,,,,,,,,,,,,,
G ,"Desensitized explosive, liquid, n.o.s.",3,UN3379,I,3,164,None,201,None,Forbidden,Forbidden,D,36,,
G ,"Desensitized explosive, solid, n.o.s.",4.1,UN3380,I,4.1,164,None,211,None,Forbidden,Forbidden,D,"28, 36",,
,"Detonating relays, see Detonators, etc",,,,,,,,,,,,,,
,"Detonator assemblies, non-electric for blasting",1.1B,UN0360,II,1.1B,,None,62,None,Forbidden,Forbidden,11,,,
,"Detonator assemblies, non-electric, for blasting",1.4B,UN0361,II,1.4B,103,"63(f), 63(g)",62,None,Forbidden,75 kg,6,,,
,"Detonator, assemblies, non-electric for blasting",1.4S,UN0500,II,1.4S,,"63(f), 63(g)",62,None,25 kg,100 kg,5,,,
